model__class_weight,model__max_depth,model__min_samples_split,model__n_estimators,accuracy,precision,recall,f1,roc_auc
,10.0,10,200,0.9507869098176368,0.9401444788441693,0.8676190476190476,0.9024269440316989,0.9874742392724105
,10.0,10,400,0.9505370971771172,0.9400826446280992,0.8666666666666667,0.9018830525272548,0.9875213261735442
,10.0,2,400,0.9502872845365975,0.9400206825232679,0.8657142857142858,0.9013386217154189,0.9875032654443423
,10.0,2,200,0.9495378466150387,0.9389233954451346,0.8638095238095238,0.8998015873015873,0.9874742392724106
,20.0,10,400,0.9482887834124407,0.9296636085626911,0.8685714285714285,0.8980797636632201,0.9869024236853563
,20.0,10,200,0.9482887834124407,0.9323076923076923,0.8657142857142858,0.8977777777777778,0.9868862980342832
balanced,20.0,2,400,0.9460404696477642,0.9048543689320389,0.8876190476190476,0.8961538461538462,0.9861267798687372
,,10,400,0.9472895328503622,0.9276248725790011,0.8666666666666667,0.896110290497292,0.9866398980858853
,,10,200,0.946789907569323,0.9248730964467005,0.8676190476190476,0.8953316953316953,0.9865737829164852
,20.0,2,400,0.9462902822882838,0.9247202441505595,0.8657142857142858,0.8942449581898672,0.986597971393095
,,2,200,0.9452910317262053,0.9134328358208955,0.8742857142857143,0.8934306569343066,0.9863335107154951
balanced,,2,400,0.9457906570072445,0.9228426395939087,0.8657142857142858,0.8933660933660934,0.9857313789044232
balanced,,2,200,0.9455408443667249,0.9202020202020202,0.8676190476190476,0.8931372549019608,0.9852777643397354
,,2,400,0.9452910317262053,0.918429003021148,0.8685714285714285,0.8928046989720999,0.9864431651427926
balanced,20.0,2,200,0.9440419685236073,0.8986486486486487,0.8866666666666667,0.8926174496644296,0.985856513956751
,20.0,2,200,0.9452910317262053,0.9218274111675127,0.8647619047619047,0.8923832923832924,0.9866785996484607
balanced,,10,200,0.939795153634774,0.8734995383194829,0.900952380952381,0.8870135958743554,0.9863509264186542
balanced,,10,400,0.9392955283537348,0.8712051517939282,0.9019047619047619,0.8862891904539073,0.9864657410542951
balanced,20.0,10,400,0.9347989008243817,0.8544474393530997,0.9057142857142857,0.8793342579750347,0.9863135149081645
balanced,20.0,10,200,0.9340494629028229,0.851520572450805,0.9066666666666666,0.8782287822878229,0.9863844677728865
balanced,10.0,2,200,0.9243067699225581,0.8029197080291971,0.9428571428571428,0.8672798948751642,0.9869814393756147
balanced,10.0,2,400,0.9238071446415188,0.8016194331983806,0.9428571428571428,0.8665207877461707,0.9869666037766276
balanced,10.0,10,400,0.9228078940794404,0.7966373098478783,0.9476190476190476,0.8655937364071336,0.9872339670714204
balanced,10.0,10,200,0.9205595803147639,0.792332268370607,0.9447619047619048,0.8618592528236316,0.9872046183864673
